['02616', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02522', 'O', '83', '83', '95', '110', '479', 'O']
['02621', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02523', '376', '398', '411', '391', '391', 'O', 'O']
['02626', '189', '189', 'O', '189', '189', '191', 'O']
['02526', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02634', '700', '702', '705', '690', 'O', '689', '698']
['02528', '190', '110', '93', 'O', 'Oz', '73', '48']
['02635', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02530', 'O', 'O', '692', '652', '652', '694', '774']
['02637', '81', '52', '50', '79', '173', 'Oz', 'O']
['02534', '372', '395', '410', 'Oz', 'Oz', '441', 'Oz']
['02641', 'O', '185', '191', '92', '107', 'O', 'O']
['02536', '101', '101', '103', '90', '99', 'O', 'O']
['02643', 'O', 'Oz', '478', '478', '478', '478', '478']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02647', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02545', 'O', 'O', 'O', '406', '350', 'Oz', '348']
['02650', '41', '41', '111', 'O', 'O', '72', '136']
['02546', '96', '96', '96', '99', 'O', '94', '89']
['02654', '650', '650', '778', 'O', '778', '700', '646']
['02547', 'Oz', '192', '192', '49', '192', '188', '271']
['02655', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02549', 'O', '646', '776', '697', '791', '696', 'O']
['02657', '692', '674', 'O', 'O', '694', '806', '647']
['02554', '694', '791', '794', '787', '741', 'O', 'O']
['02658', '398', '478', '493', '493', '347', '341', 'O']
['02568', '647', '870', '650', '708', '739', 'Oz', 'O']
['02661', '170', '176', 'O', '93', '79', '49', 'O']
['02569', '171', '171', '171', '171', '472', 'O', 'O']
['02662', '98', '98', '99', '98', '98', '98', 'O']
['02573', '378', '351', 'O', 'O', 'O', '376', '438']
['02663', '642', '785', '742', '870', 'O', '693', '770']
['02574', '103', '265', 'O', 'Oz', '104', '97', '44']
['02665', 'O', 'O', '369', '475', 'O', '494', '473']
['02575', 'O', 'O', '439', '381', '340', '487', 'O']
['02667', 'O', '374', '489', '396', '371', '394', 'O']
['02576', '496', '496', '496', '496', 'Oz', 'O', '395']
['02671', 'O', 'O', '806', '806', '709', '692', 'O']
['02579', 'O', 'Oz', 'Oz', '185', '185', '185', 'O']
['02674', '73', '91', '187', '50', 'O', 'O', '40']
['02580', '371', '485', 'O', 'O', 'O', '492', '486']
['02676', '405', '404', '404', 'O', 'O', '397', '394']
['02677', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02751', '787', '644', '682', 'O', 'O', '697', '772']
['02682', 'O', 'O', '89', '176', '83', '74', '70']
