['02546', '89', '89', '89', '89', '89', 'O', 'O']
['02655', 'I-GO', '490', '401', '443', 'O', '567', '390']
['02547', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02657', '696', '709', '773', 'O', '641', '677', '869']
['02549', '791', '649', '689', '350', '689', 'O', '470']
['02658', '443', '348', '408', '399', '438', '397', 'O']
['02554', '710', '692', '870', '695', 'Oz', 'Oz', 'O']
['02661', '99', '40', '47', '91', '265', '95', 'O']
['02568', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02662', '91', '91', 'O', 'O', 'O', '91', '90']
['02569', '171', '171', '171', '171', '171', '172', 'O']
['02663', '740', 'O', '776', '789', 'O', 'O', '643']
['02573', 'Oz', '397', '477', '400', 'O', '348', '377']
['02665', '770', '477', 'Oz', '671', '644', '674', 'O']
['02574', 'O', '99', '49', 'Oz', '98', '90', 'O']
['02667', '490', '373', 'O', '369', '344', '473', 'O']
['02575', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02671', '742', '740', '699', '643', '693', 'O', 'O']
['02576', 'O', '488', '488', '488', '488', 'O', 'O']
['02674', '176', '78', '44', '79', 'O', '175', '185']
['02579', '190', 'Oz', '190', '190', '190', '190', 'O']
['02676', '391', '391', '391', '391', '392', '395', 'O']
['02580', '487', 'O', 'O', '475', '487', '371', 'O']
['02677', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02584', '646', '710', '693', '710', '646', 'O', '787']
['02682', '173', '173', '173', '173', 'O', 'O', '171']
['02585', 'O', '677', '676', '648', '791', '649', 'O']
['02683', 'O', 'O', '73', '143', 'O', '186', '271']
['02586', '476', '409', '373', '485', '473', 'O', 'O']
['02690', '432', '433', '438', '345', '477', 'O', 'O']
['02587', 'I-PD', 'I-PD', 'I-PD', 'O', '369', '369', '369']
['02691', 'O', 'O', '787', '675', '695', 'O', 'O']
['02588', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02696', '95', '95', 'O', '95', '95', 'O', 'O']
['02589', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02697', '474', '438', '433', '394', '400', 'O', 'O']
['02591', 'O', '870', '789', 'O', 'O', '787', '489']
['02698', '98', '98', '98', '96', '96', 'O', 'O']
['02593', '689', '699', '698', '689', 'O', 'Oz', '692']
['02701', '45', '70', '177', '100', 'O', '174', '94']
['02703', '110', '74', 'O', '176', '79', 'Oz', 'Oz']
['02762', '74', '107', 'O', '45', '77', '42', '43']
['02706', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02764', 'O', '640', '671', 'Oz', '677', 'O', '475']
['02708', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02766', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02710', '101', '101', '101', '101', '101', 'O', 'O']
['02767', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02711', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02768', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02712', '489', '485', '487', '379', '440', 'O', '370']
['02770', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02713', '470', '369', 'O', '491', '373', 'Oz', 'Oz']
['02771', 'O', 'O', '110', '73', '74', '46', '345']
['02714', 'O', '773', '648', 'O', 'O', '694', '373']
['02772', '107', '71', '175', '109', '41', 'Oz', '91']
['02719', '275', '275', '275', '275', '275', 'O', 'O']
['02773', '188', 'O', 'O', '174', '78', '176', '375']
['02721', '440', 'Oz', '344', '371', '408', '375', 'O']
['02774', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02722', 'O', '175', '109', '71', '48', '139', '93']
['02775', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02731', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02776', '50', '131', 'O', 'O', '42', '189', '173']
['02733', '346', '567', '407', 'Oz', 'Oz', '471', '435']
['02777', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
