['00641', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02462', '643', 'Oz', '690', '708', '742', 'Oz', '']
['02328', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02466', 'Oz', 'Oz', 'Oz', '391', '391', '341', '']
['02329', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02470', '505', '505', '505', '505', '505', '505', '']
['02334', 'O', '485', '394', '394', 'O', 'Oz', '']
['02472', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02335', 'O', '806', '707', '741', '647', 'Oz', '']
['02473', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', '']
['02337', '912', '646', '674', '702', 'O', '874', '']
['02477', '792', 'O', 'O', '640', '709', '689', '']
['02350', 'O', '472', '396', '491', '408', '477', '']
['02484', 'O', '346', '350', '347', '470', '473', '']
['02486', '395', '399', '399', '404', 'O', '567', '']
['02576', '488', '496', '496', '496', 'O', 'O', '']
['02488', '176', '50', '106', 'O', '72', '73', '']
['02579', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02490', 'O', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', '']
['02580', '486', '343', '343', '48', '374', 'O', '']
['02493', '136', '111', '185', 'Oz', '40', '41', '']
['02584', 'O', '702', '770', '682', '649', '675', '']
['02494', '390', '394', '72', 'O', '394', '390', '']
['02585', 'Og', 'I-GO', 'I-GO', '52', '50', '90', '']
['02497', '392', '404', '401', 'Oz', '404', '400', '']
['02586', '491', '475', '485', '390', '340', 'O', '']
['02499', 'Og', 'I-GO', '', '', '', '', '']
['02587', '369', '369', '369', 'O', '369', '369', '']
['02500', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02588', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02507', '490', '377', '491', '396', 'O', '394', '']
['02589', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02509', 'O', 'O', 'O', 'O', 'O', 'O', '']
['02591', '689', '794', '786', '775', '786', '869', '']
['02513', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02593', 'O', '490', '490', '490', '490', '493', '']
['02514', '770', '669', 'O', 'O', '674', '779', '']
['02601', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02515', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02609', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02516', 'Oz', 'Oz', '406', '350', '493', '172', '']
['02610', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02517', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02611', 'O', '491', '379', '379', '389', '478', '']
['02521', 'O', '677', '694', '694', '644', '805', '']
['02614', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02522', '192', '75', 'O', '75', '81', 'O', '']
['02616', 'O', '97', '97', '97', '97', 'O', '']
['02523', '343', '395', '495', 'O', '495', '398', '']
['02621', '692', 'O', '785', '739', '708', '791', '']
['02526', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02626', 'Oz', 'I-DK', 'I-DK', '189', '189', '189', '']
['02528', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02634', '693', '705', '705', '705', '705', 'O', '']
['02530', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02635', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', '185', '']
['02531', 'O', 'O', 'O', 'O', 'O', 'O', '']
['02637', '206', '42', '143', 'Oz', 'Oz', '44', '']
['02534', 'Oz', '351', '381', '567', '393', '349', '']
['02641', 'O', '175', '191', '108', '89', 'O', '']
['02536', '93', '103', '105', '105', '105', 'O', '']
['02643', '478', '478', '478', '478', 'O', 'O', '']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02647', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02545', '348', 'O', '391', '399', '439', '345', '']
['02650', '186', '143', '49', '96', '173', 'O', '']
['02546', 'O', '101', '101', '101', '103', '97', '']
['02654', '674', '650', 'O', 'Oz', '778', '649', '']
['02547', 'O', '192', '192', '192', '192', 'O', '']
['02655', '372', '344', 'O', '495', '442', '392', '']
['02549', '785', '647', '806', '471', 'O', '776', '']
['02657', '790', '680', '696', 'O', '680', '472', '']
['02554', 'O', '785', '708', '707', '689', 'O', '']
['02658', 'O', '439', '439', '405', '405', '439', '']
['02568', '771', '342', 'O', '785', '785', '641', '']
['02661', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02569', '177', '171', '171', '171', 'O', 'O', '']
['02662', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02573', '438', '345', '378', '381', '410', 'O', '']
['02663', 'Oz', 'Oz', 'Oz', '711', '741', '732', '']
['02574', '70', '193', '189', 'Oz', '49', '173', '']
['02665', '690', 'Oz', 'O', '806', '694', '785', '']
['02575', 'O', '567', '409', '409', 'O', '397', '']
['02667', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02671', 'O', '805', '778', '787', '711', '644', '']
['02748', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02674', 'O', '99', '69', '99', '79', '194', '']
['02749', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02676', '389', '405', '405', '406', '406', 'O', '']
['02750', '473', '376', '376', 'O', 'O', '396', '']
['02677', '477', '382', '398', '377', '344', '474', '']
['02751', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02682', '48', '82', '82', '43', '43', 'O', '']
['02752', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02683', 'O', '196', 'Oz', '196', '196', '91', '']
['02753', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02690', '675', 'O', '375', '442', '381', '571', '']
['02754', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02691', '777', '786', '698', '791', 'Oz', 'Oz', '']
['02755', 'Oz', '640', '650', '674', '702', 'Oz', '']
['02696', '90', '105', '52', '106', 'O', '94', '']
['02756', '470', '442', '475', '439', '377', '374', '']
['02697', '572', '474', '393', '393', 'O', 'O', '']
['02757', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['02698', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02758', 'O', '104', '71', '173', '96', '92', '']
['02701', '138', '91', '196', '51', '190', 'O', '']
['02761', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['02703', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02762', 'O', '191', '92', '92', '108', '40', '']
['02706', 'Oz', '177', '102', '91', '174', '193', '']
['02764', '340', '78', '177', '174', '73', 'O', '']
['02708', 'O', '271', '271', '271', '271', 'O', '']
['02766', '394', '374', '346', '73', '396', '470', '']
['02710', 'O', '188', '188', '188', '188', 'O', '']
['02767', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02711', '371', '73', 'O', '45', '171', '175', '']
['02768', '642', '711', '772', '644', '690', 'O', '']
['02712', '472', '390', '390', 'O', '346', '378', '']
['02769', '640', '787', '700', 'O', 'O', '771', '']
['02713', '474', '371', 'O', '374', '382', '372', '']
['02770', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02714', 'O', '742', '680', '671', '378', '698', '']
['02771', 'O', '172', '99', '41', '98', 'O', '']
['02719', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02772', 'O', '52', '50', '98', '143', '191', '']
['02721', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02773', 'O', '195', '175', '193', 'O', '93', '']
['02722', '91', '95', '73', '44', 'O', '49', '']
['02774', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02731', '42', '142', '139', '139', '142', 'O', '']
['02775', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02733', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02776', '347', '72', '70', '110', '95', 'O', '']
['02735', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02777', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02737', '789', '709', '682', '698', 'O', 'O', '']
['02778', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02738', '645', '375', '474', '378', 'O', 'O', '']
['02780', '376', '396', 'O', '472', '489', '393', '']
['02740', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['02836', '74', '80', '75', '76', '111', '96', '']
['02741', '375', '176', 'O', '170', '71', '42', '']
['04811', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02742', 'O', '379', '371', 'O', '379', '346', '']
['04871', '697', 'O', '709', '689', '700', 'Oz', '']
['02743', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['04933', 'Oz', 'I-DK', 'I-DK', '190', '791', '770', '']
['02745', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['04944', 'O', '178', '41', '46', '109', '174', '']
['02746', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['06234', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
['02747', 'O', '187', '74', '94', '191', 'O', '']
['06509', '786', '707', '870', '742', '640', 'Oz', '']
['06514', '489', '398', 'O', '346', '398', '494', '']
['21038', 'O', '410', '470', '343', '350', '389', '']
['06636', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21039', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['09267', 'O', '696', '711', '870', '787', '342', '']
['21040', '735', '793', '677', '383', '474', '669', '']
['09406', 'O', '411', '344', '493', '399', '344', '']
['21041', '694', '791', '776', 'O', 'O', '399', '']
['21001', 'O', '775', '793', '650', 'O', '640', '']
['21042', '676', 'O', 'O', '345', '370', '692', '']
['21002', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['21043', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21006', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21044', '377', '495', '78', '376', '472', '377', '']
['21007', '398', '401', '395', '410', 'Oz', 'Oz', '']
['21045', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21010', 'O', '49', '47', '175', '170', '95', '']
['21046', 'O', '674', '689', '680', '372', '674', '']
