['02634', '744', '744', '744', '744', 'Oz', 'Oz', '735']
['02528', '73', '192', 'O', 'O', '190', '70', 'O']
['02637', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02530', '677', '682', '383', 'I-DK', 'I-DK', 'Oz', 'Oz']
['02643', '478', '478', '478', 'Oz', '478', '478', '390']
['02534', '345', '351', 'Oz', 'Oz', '399', '475', '373']
['02647', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02536', '94', '94', '89', '91', '91', 'O', 'O']
['02650', '72', '140', '189', '191', '49', 'O', 'O']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02654', '778', '778', '778', 'O', '778', '770', '777']
['02545', '411', '440', '492', '475', 'O', 'O', '435']
['02655', '495', '495', 'O', '478', '495', '397', '490']
['02546', '89', '92', 'O', 'O', '89', '89', 'O']
['02657', '770', '742', '776', '378', 'Oz', 'Oz', '669']
['02547', '192', 'O', '192', '99', '110', '97', '95']
['02658', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02549', '787', '474', 'O', 'O', '693', '648', 'O']
['02661', '76', '89', '76', '96', '96', 'O', 'O']
['02554', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02662', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02568', '82', '46', 'O', '76', '41', 'Oz', 'Oz']
['02663', '193', '69', 'O', '44', '44', '139', '93']
['02569', '171', '171', '171', '171', '171', 'O', '177']
['02665', '793', 'O', '775', '775', '644', '870', '806']
['02573', '441', 'Oz', 'Oz', '439', '390', '488', '476']
['02667', '485', '393', '408', '341', '382', 'O', 'O']
['02574', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02671', '643', '740', '640', '694', '746', '779', 'O']
