['02616', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02521', 'O', '674', '793', '649', 'O', '669', '785']
['02621', 'O', 'O', '806', '806', '806', '691', 'O']
['02522', '94', 'O', '97', '99', '97', 'O', '94']
['02626', 'O', 'O', '185', '185', '185', 'O', '185']
['02523', '389', 'O', '374', '407', '351', 'O', 'O']
['02634', 'Oz', '735', '744', '744', '744', 'O', '869']
['02526', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02637', 'Oz', '73', 'I-DK', 'I-DK', '191', '44', 'O']
['02528', 'O', '177', '80', '192', 'O', '48', '177']
['02643', 'Oz', '477', '478', '478', '478', '478', 'Oz']
['02530', 'O', 'O', '680', '791', '701', 'O', '672']
['02647', 'O', '791', '707', '695', '786', '678', '377']
['02534', 'Oz', '572', '372', '410', '490', '347', 'Oz']
['02650', '188', '72', '40', '175', '107', 'O', '77']
['02536', '90', 'O', '91', '91', '91', '90', '90']
['02654', 'Oz', 'Oz', '778', '778', '778', '770', 'Oz']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02655', 'Oz', '491', '495', '495', '495', '491', 'O']
['02545', 'O', 'O', '567', '393', '400', '349', 'O']
['02657', '692', '643', '708', '640', '770', '475', 'O']
['02546', 'O', '92', '89', '89', '89', 'O', '89']
['02658', 'Oz', 'Oz', '382', '444', '376', '344', 'O']
['02547', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['02661', '91', 'Oz', 'Oz', 'Oz', '102', '95', '92']
['02549', 'O', '669', '701', '348', '776', 'O', '770']
['02662', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02554', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02663', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02568', '40', '42', '104', '108', '140', 'Oz', 'Oz']
['02665', '376', 'O', '340', '371', '341', 'O', '567']
['02569', 'O', '174', '171', '171', '171', 'O', '178']
['02667', '485', 'O', '371', '411', '379', 'O', '372']
['02573', '478', 'O', 'Oz', '375', '399', '350', '348']
['02671', 'O', '690', '650', '787', '671', 'O', '771']
['02574', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02674', 'O', 'O', '108', '139', '111', '185', '72']
['02575', 'Oz', '567', '375', '379', '389', '396', '370']
['02676', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02576', '348', 'O', '492', '492', '492', '571', 'O']
['02677', 'O', 'O', '389', '470', '381', '477', 'O']
['02579', 'Oz', 'O', '52', '102', '189', '190', '186']
['02682', 'O', 'O', '172', '172', '172', '177', 'O']
['02580', '491', 'O', '376', '382', '340', '378', 'O']
['02683', '186', '186', '50', '47', '46', 'O', '93']
['02584', '643', 'O', '788', '692', '740', '695', 'O']
['02690', '647', '641', '703', '397', '570', 'O', 'O']
['02585', 'Oz', '188', '74', '140', '175', '73', 'O']
['02691', '773', '770', 'O', '788', '348', 'Oz', '572']
['02586', '506', 'O', '377', '440', '375', '490', 'O']
['02696', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02587', '369', '369', 'O', 'O', 'O', '369', '369']
['02697', '572', '377', '475', '471', 'O', 'O', '373']
['02588', 'O', 'O', '565', '565', '565', 'O', 'O']
['02698', 'Oz', 'Oz', '93', '93', '94', 'O', 'Oz']
['02589', 'Oz', '771', '397', '351', '491', 'O', 'O']
['02701', '71', 'O', 'Oz', '75', '45', '98', '71']
