['02335', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02473', '649', 'O', '383', '646', '692', '698', '672']
['02337', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02477', '682', '791', '646', 'O', 'O', '692', '693']
['02350', '493', '409', '390', '439', '406', 'O', 'O']
['02484', 'O', 'O', '377', '369', '346', '393', '346']
['02486', '399', '567', '406', '399', 'O', 'Oz', '392']
['02584', 'I-DK', 'I-DK', 'Oz', 'Oz', 'Oz', '869', '644']
['02488', 'O', 'O', '48', '51', '51', '432', '487']
['02585', '172', '89', '89', '41', '74', 'O', 'O']
['02490', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02586', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02493', '142', '69', '191', 'Oz', '92', '185', '191']
['02587', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02494', '392', '392', '389', 'O', 'O', '389', '391']
['02588', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02497', '404', '405', '401', '401', '405', 'Oz', 'Oz']
['02589', '381', '410', '381', '381', '348', 'O', 'O']
['02500', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02591', '787', '787', 'Oz', '708', '647', '694', '771']
['02507', '491', '389', '470', '491', 'O', 'O', '477']
['02593', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02513', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02601', '174', '174', '270', '174', '174', 'O', 'O']
['02514', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02609', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02515', 'O', 'O', '370', '776', '671', '790', '646']
['02610', 'I-GO', '177', '177', '177', '177', '175', '176']
['02516', '442', '439', '567', '405', '344', '440', 'O']
['02611', '398', 'Oz', 'Oz', '472', '472', '492', '374']
['02517', '405', '404', '404', '406', 'O', 'O', 'O']
['02614', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02521', '690', '383', 'O', 'O', '649', '678', '791']
['02616', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02522', '192', '48', '95', '72', '72', 'O', 'O']
['02621', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02523', '344', '487', '396', '442', '396', '349', 'O']
['02626', 'Oz', 'O', 'Oz', '189', '189', '191', '190']
['02526', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02634', '705', '705', '705', '705', '705', 'O', 'O']
['02528', '93', '93', '110', '110', '192', 'O', 'O']
['02635', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02530', 'O', 'O', '372', '652', '697', '672', '786']
['02637', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02534', '490', 'O', '345', '471', '572', '441', 'Oz']
['02641', 'I-GO', '90', '79', '193', '80', '479', '174']
['02536', '99', '99', '103', '99', '99', 'O', 'O']
['02643', 'Oz', '478', '478', '478', '478', '478', '478']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02647', 'I-GO', 'I-GO', 'I-GO', '643', '702', '740', '671']
['02545', '408', '347', 'O', '391', '487', '567', '344']
['02650', '82', '95', '69', '178', '172', '186', 'O']
['02546', '96', '96', '96', '96', '194', 'O', 'O']
['02654', '778', '778', '778', 'O', 'O', '649', '698']
['02547', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['02655', '495', '495', '409', '495', 'O', 'O', 'O']
['02549', '788', '652', '692', '793', '806', 'O', 'O']
['02657', '669', '741', '647', 'O', 'O', '732', '696']
['02554', '793', '786', '739', '702', '709', 'O', 'O']
['02658', '409', '493', '442', '350', '404', 'O', 'O']
['02568', '375', '643', '682', '787', '787', 'O', 'O']
['02661', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '139', '96']
['02569', '171', '171', '171', '171', '270', 'O', 'O']
['02662', '90', '92', '98', '92', '94', '94', 'Oz']
['02573', '393', '572', '391', '490', 'Oz', '472', '377']
['02663', '689', 'O', '793', '642', '711', 'O', 'O']
['02574', '92', '41', '185', 'Oz', '108', '96', '91']
['02665', '470', '390', '398', '344', '374', '485', 'O']
['02575', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02667', '340', '485', '369', '396', '369', 'O', 'O']
['02576', 'I-GO', '496', '496', '496', '496', 'O', '395']
['02671', 'O', 'O', '375', '644', '682', '693', '785']
['02579', '185', '185', 'Oz', 'O', '185', '89', '265']
['02674', '173', '106', '205', 'O', 'O', '78', '92']
['02580', 'I-GO', 'I-GO', 'I-GO', '343', '371', '374', '505']
['02676', '406', '406', '399', '404', 'O', 'O', '394']
['02677', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02751', '700', '794', '640', 'Oz', 'Oz', '675', '736']
['02682', 'I-GO', 'I-GO', '74', '173', '173', '90', '188']
['02752', 'I-GO', 'I-GO', '702', '870', '739', '785', 'O']
['02683', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02753', '697', '646', '697', 'O', 'O', '640', '647']
['02690', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02754', '70', '77', '46', '104', '170', 'O', 'O']
['02691', '791', '772', '348', '778', 'O', '342', '645']
['02755', '692', '788', '770', '690', '644', 'O', 'O']
['02696', 'O', '101', '101', '98', '89', '93', 'O']
['02756', '45', '74', '71', '47', '91', '42', 'O']
['02697', '395', '381', '378', 'O', 'O', '571', '438']
['02757', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02698', '105', '195', '99', '106', '106', 'O', 'O']
['02758', '46', '193', '47', 'O', 'O', 'O', '90']
['02701', '73', '270', '78', '95', 'Oz', '99', '178']
['02761', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02703', 'I-GO', 'I-GO', 'I-GO', 'I-GO', '52', '174', '40']
['02762', '76', '46', '94', '111', '142', 'O', 'O']
['02706', '91', '83', '49', '190', '110', '473', 'O']
['02764', '177', '190', '97', '45', 'O', 'O', 'O']
['02708', '271', '271', '271', '271', '271', 'O', 'O']
['02766', '567', '391', 'Oz', '345', '395', '474', '372']
['02710', 'I-GO', '188', '188', '188', '188', 'O', 'O']
['02767', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02711', '101', '265', '111', 'O', '95', '91', '471']
['02768', 'I-GO', '692', '741', '707', '643', '641', 'O']
['02712', '394', '394', '491', '567', 'O', 'O', '470']
['02769', '679', '770', '674', '694', '786', 'O', 'O']
['02713', '371', '371', '411', '487', '439', '340', 'O']
['02770', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02714', '383', 'O', '690', '742', '742', 'O', 'O']
['02771', 'I-GO', 'I-GO', '52', '50', '79', '72', '95']
['02719', '275', '275', '275', '275', '275', 'O', 'O']
['02772', 'O', '82', '42', '108', '49', '100', 'O']
['02721', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02773', '175', '172', 'O', 'O', '187', '48', 'Oz']
['02722', '189', 'O', '104', '265', '103', 'O', 'O']
['02774', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02731', '139', '80', '81', '143', '139', 'O', 'O']
['02775', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02733', '389', '376', '485', '340', '350', 'O', 'O']
['02776', 'I-GO', '52', '73', '48', '70', '397', '397']
['02735', '805', '805', '805', '805', '805', 'O', 'O']
['02777', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02737', 'I-GO', 'I-GO', '652', '696', '679', '792', '806']
['02778', '74', '79', '189', 'O', 'O', '41', '93']
['02738', '376', '345', 'O', 'O', '345', '391', '475']
['02780', '346', '399', '472', '411', '495', 'O', 'O']
['02740', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02836', '187', '187', '106', '52', 'O', '170', '186']
['02741', '47', '97', '45', '105', '111', 'O', 'O']
['04811', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02742', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04871', 'I-GO', '677', '643', '692', '689', '697', '790']
['02743', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04933', '69', '173', '50', '94', '43', 'O', 'O']
['02745', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['04944', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02746', '104', '44', '77', '97', 'O', '190', '42']
['06234', '487', '489', '51', 'O', 'O', '346', '473']
['02747', 'I-GO', 'I-GO', 'I-GO', '80', '83', '194', '185']
['06509', '709', '690', '870', 'Oz', 'Oz', 'Oz', '643']
['02748', '680', 'O', '791', '709', 'Oz', '671', '691']
['06514', 'O', '346', '394', '394', '390', '341', '341']
['02749', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['06636', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02750', '472', '350', 'O', 'O', '340', '477', '491']
['09267', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['09406', '401', '401', '408', 'Oz', '399', '439', '393']
['21041', '702', '709', '642', '682', '772', 'O', 'O']
['21001', '698', '680', '669', '770', '793', 'O', 'O']
['21042', '348', '669', '772', '370', 'O', 'O', 'O']
['21002', 'I-BP', 'I-BP', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21043', 'O', '393', '405', '347', '490', '471', '370']
['21006', 'O', '143', '195', '76', '46', '188', 'O']
['21044', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21007', '391', '372', '490', '410', '393', 'O', 'O']
['21045', 'I-DK', '175', '187', '170', '96', '73', '77']
['21010', 'Oz', '42', '40', '172', '193', '70', '98']
['21046', '372', 'O', '788', '786', 'O', 'Oz', '695']
['21011', '478', '340', '489', '408', '394', 'O', 'O']
['21047', '95', '189', '80', '78', '81', '177', 'O']
['21012', '474', '682', '787', '647', '741', 'O', 'O']
['21048', '477', '640', '679', '679', '794', 'O', 'O']
['21013', '377', '470', '487', 'O', '411', '377', '342']
['21049', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21014', '342', '411', 'Oz', '342', '375', '398', '472']
['21050', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21015', 'I-GO', 'I-GO', 'I-GO', '176', '45', '76', '73']
['21051', '94', '176', '70', 'I-DK', 'I-DK', 'Oz', 'Oz']
['21016', '89', '71', '170', '195', '82', '95', 'O']
['21052', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21018', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21053', 'I-GO', '348', '696', '791', '642', '347', 'O']
['21019', 'O', '698', '671', '785', '690', '786', '648']
['21055', '496', '395', '410', 'O', '351', '493', '474']
['21020', '81', '76', '172', '90', '41', '50', 'O']
['21056', 'I-GO', 'I-DK', 'I-DK', 'Oz', 'Oz', '45', '172']
['21021', 'I-GO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['3720304', '739', '644', 'O', '697', '778', '350', 'O']
['21022', '178', '75', 'O', 'O', '90', '141', '48']
['3760392', '343', '472', 'O', 'O', '493', '372', '376']
['21023', '188', 'O', '190', '46', 'Oz', 'O', '375']
['3760393', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21024', 'I-GO', 'I-GO', '493', '493', '442', '470', '435']
['56650', '80', '81', '76', 'O', 'O', '47', '46']
['21025', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['63867', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
